model,mae,rmse,r2,training_time_seconds,measured_energy_kwh,cloud_region,location,google_cfe,google_cfe_percent,grid_carbon_intensity_gco2eq_per_kwh,simulated_cloud_emissions_kg_co2eq,simulated_cloud_emissions_g_co2eq,simulated_cloud_emissions_mg_co2eq,reference_emissions_kg_co2eq,emissions_savings_kg_co2eq,emissions_savings_percent,scenario,scaled_energy_kwh,scaled_cloud_emissions_kg_co2eq,scaled_reference_emissions_kg_co2eq,scaled_emissions_savings_kg_co2eq
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,europe-north2,Stockholm,1.0,100.0,2.73,3.9471311776346916e-08,3.9471311776346916e-05,0.03947131177634692,8.32468761225907e-06,8.285216300482723e-06,99.52585233687063,"10,000 repeated training runs",0.14458355962031835,0.00039471311776346916,0.0832468761225907,0.08285216300482723
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,northamerica-northeast1,Montréal,0.99,99.0,5.48,7.923179067193448e-08,7.923179067193447e-05,0.07923179067193448,8.32468761225907e-06,8.245455821587135e-06,99.04823106448755,"10,000 repeated training runs",0.14458355962031835,0.0007923179067193447,0.0832468761225907,0.08245455821587135
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,europe-west6,Zürich,0.98,98.0,15.05,2.1759825722857914e-07,0.00021759825722857915,0.21759825722857914,8.32468761225907e-06,8.107089355030491e-06,97.38610903659448,"10,000 repeated training runs",0.14458355962031835,0.0021759825722857916,0.0832468761225907,0.0810708935503049
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,us-west1,Oregon,0.87,87.0,79.23,1.1455355428717825e-06,0.0011455355428717825,1.1455355428717824,8.32468761225907e-06,7.1791520693872875e-06,86.23929694148705,"10,000 repeated training runs",0.14458355962031835,0.011455355428717824,0.0832468761225907,0.07179152069387287
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,us-east4,Northern Virginia,0.62,62.0,323.05,4.670771893534385e-06,0.004670771893534385,4.670771893534385,8.32468761225907e-06,3.6539157187246845e-06,43.89252652969066,"10,000 repeated training runs",0.14458355962031835,0.04670771893534385,0.0832468761225907,0.036539157187246846
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,us-east1,South Carolina,0.31,31.0,575.77,8.32468761225907e-06,0.00832468761225907,8.32468761225907,8.32468761225907e-06,0.0,0.0,"10,000 repeated training runs",0.14458355962031835,0.0832468761225907,0.0832468761225907,0.0
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,1.4458355962031836e-05,asia-south1,Mumbai,0.09,9.0,678.76,9.81375369278873e-06,0.009813753692788729,9.81375369278873,8.32468761225907e-06,-1.4890660805296595e-06,-17.887350851902678,"10,000 repeated training runs",0.14458355962031835,0.09813753692788729,0.0832468761225907,-0.014890660805296595
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,europe-north2,Stockholm,1.0,100.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,northamerica-northeast1,Montréal,0.99,99.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,europe-west6,Zürich,0.98,98.0,15.05,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
